strategy,params,risk,atr_mult,pnl,dd,trades,equity_end,cagr
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.003,3.0,49.84,37.47,12,10049.84,0.14
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.003,2.5,65.85,45.03,12,10065.85,0.18
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.003,2.0,89.88,56.41,12,10089.88,0.24
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.005,2.5,109.68,75.35,12,10109.68,0.3
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.005,2.0,149.8,94.55,12,10149.8,0.41
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.01,3.0,165.47,126.23,12,10165.47,0.45
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.01,2.5,218.99,152.24,12,10218.99,0.59
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.01,2.0,299.54,191.75,12,10299.54,0.81
