strategy,params,risk,atr_mult,pnl,dd,trades,equity_end,cagr
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.003,3.0,-16.38,25.24,1,9983.62,-0.04
bollinger,"period=50,mult=2.5",0.003,3.0,1123.1,470.99,216,11123.1,2.95
ema,"fast=10,slow=100",0.003,3.0,1950.64,547.34,262,11950.64,4.98
ema,"fast=30,slow=50",0.003,2.5,2192.48,634.61,231,12192.48,5.55
ema,"fast=30,slow=50",0.003,2.0,2450.96,703.63,231,12450.96,6.16
ema,"fast=20,slow=50",0.003,2.0,2968.1,952.09,301,12968.1,7.35
ema,"fast=10,slow=100",0.005,3.0,3378.22,971.83,262,13378.22,8.26
ema,"fast=30,slow=50",0.005,2.5,3788.6,1081.56,231,13788.6,9.16
ema,"fast=30,slow=50",0.005,2.0,4219.28,1179.67,231,14219.28,10.08
ema,"fast=20,slow=50",0.005,2.0,5188.86,1848.26,301,15188.86,12.07
ema,"fast=30,slow=50",0.01,3.0,7100.57,2236.75,231,17100.57,15.76
ema,"fast=30,slow=50",0.01,2.5,8210.65,2356.15,231,18210.65,17.76
ema,"fast=30,slow=50",0.01,2.0,9003.41,2586.45,231,19003.41,19.14
ema,"fast=20,slow=50",0.01,2.0,11483.97,5207.89,301,21483.97,23.19
