strategy,params,risk,atr_mult,pnl,dd,trades,equity_end,cagr
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.003,3.0,-47.58,68.34,6,9952.42,-0.13
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.003,2.5,-45.13,70.02,6,9954.87,-0.12
bollinger,"period=50,mult=2.0",0.003,3.0,2156.48,686.48,600,12156.48,5.47
bollinger,"period=50,mult=3.0",0.003,3.0,2385.49,739.91,379,12385.49,6.01
bollinger,"period=50,mult=3.0",0.003,2.5,3052.71,840.94,384,13052.71,7.54
bollinger,"period=50,mult=3.0",0.003,2.0,4531.49,924.53,394,14531.49,10.73
bollinger,"period=50,mult=3.0",0.005,2.5,5380.68,1702.59,384,15380.68,12.46
bollinger,"period=50,mult=3.0",0.005,2.0,8271.36,2005.57,394,18271.36,17.87
bollinger,"period=50,mult=3.0",0.01,3.0,9111.82,4188.16,379,19111.82,19.32
bollinger,"period=50,mult=3.0",0.01,2.5,12204.23,5313.94,384,22204.23,24.3
bollinger,"period=50,mult=3.0",0.01,2.0,20412.54,7292.62,394,30412.54,35.44
