strategy,params,risk,atr_mult,pnl,dd,trades,equity_end,cagr
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.003,3.0,35.19,31.01,4,10035.19,0.1
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.003,2.5,42.22,37.22,4,10042.22,0.11
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.005,3.0,58.62,51.68,4,10058.62,0.16
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.005,2.5,70.33,62.01,4,10070.33,0.19
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.01,3.0,117.1,103.32,4,10117.1,0.32
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.01,2.5,140.45,123.96,4,10140.45,0.38
bollinger,"period=20,mult=2.0",0.003,3.0,751.25,311.26,298,10751.25,2.0
bollinger,"period=50,mult=2.0",0.003,3.0,1180.62,351.9,131,11180.62,3.09
bollinger,"period=50,mult=2.0",0.003,2.5,1494.18,421.93,131,11494.18,3.87
bollinger,"period=50,mult=2.0",0.005,3.0,2016.84,623.38,131,12016.84,5.14
bollinger,"period=50,mult=2.0",0.005,2.5,2571.86,758.77,131,12571.86,6.44
ema,"fast=10,slow=50",0.005,3.0,2604.92,1195.18,192,12604.92,6.52
bollinger,"period=50,mult=2.0",0.01,3.0,4281.76,1443.8,131,14281.76,10.21
bollinger,"period=50,mult=2.0",0.01,2.5,5561.05,1820.56,131,15561.05,12.82
ema,"fast=10,slow=50",0.01,2.5,6926.95,3409.79,192,16926.95,15.43
ema,"fast=10,slow=50",0.01,2.0,8390.17,4400.99,192,18390.17,18.07
