strategy,params,risk,atr_mult,pnl,dd,trades,equity_end,cagr
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.003,3.0,27.73,34.82,6,10027.73,0.08
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.003,2.5,39.3,35.78,6,10039.3,0.11
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.003,2.0,56.68,37.23,6,10056.68,0.15
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.005,2.5,65.43,59.72,6,10065.43,0.18
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.005,2.0,94.42,62.15,6,10094.42,0.26
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.01,2.5,130.49,119.85,6,10130.49,0.35
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.01,2.0,188.64,124.85,6,10188.64,0.51
ema,"fast=50,slow=200",0.003,3.0,1838.43,763.15,204,11838.43,4.71
ema,"fast=30,slow=200",0.003,3.0,2418.84,854.14,272,12418.84,6.09
ema,"fast=20,slow=50",0.003,2.5,2576.06,1045.62,617,12576.06,6.45
ema,"fast=20,slow=50",0.003,3.0,2739.74,1053.13,617,12739.74,6.83
ema,"fast=20,slow=200",0.003,2.0,3140.43,1208.44,312,13140.43,7.73
ema,"fast=30,slow=200",0.005,3.0,4127.33,1453.31,272,14127.33,9.88
ema,"fast=20,slow=200",0.005,3.0,4462.73,1817.37,312,14462.73,10.59
ema,"fast=20,slow=50",0.005,3.0,4742.54,2037.01,617,14742.54,11.17
ema,"fast=20,slow=200",0.005,2.0,5312.66,2058.67,312,15312.66,12.32
ema,"fast=50,slow=200",0.01,3.0,6147.62,2785.8,204,16147.62,13.96
ema,"fast=30,slow=200",0.01,3.0,8582.89,3032.44,272,18582.89,18.41
ema,"fast=20,slow=200",0.01,3.0,9333.83,3914.25,312,19333.83,19.7
ema,"fast=20,slow=200",0.01,2.0,10622.86,4295.29,312,20622.86,21.82
