strategy,params,risk,atr_mult,pnl,dd,trades,equity_end,cagr
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.003,3.0,-10.04,85.15,6,9989.96,-0.03
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.003,3.0,-9.4,85.15,6,9990.6,-0.03
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.003,2.5,-4.07,94.23,6,9995.93,-0.01
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.003,2.5,-3.29,94.24,6,9996.71,-0.01
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.003,2.0,17.39,95.38,6,10017.39,0.05
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.003,2.0,18.37,95.39,6,10018.37,0.05
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.005,2.0,28.48,159.81,6,10028.48,0.08
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.005,2.0,30.22,159.84,6,10030.22,0.08
rsi,"period=14,eL=25.0,xL=55.0,ema=200",0.01,2.0,54.47,323.88,6,10054.47,0.15
rsi,"period=14,eL=25.0,xL=50.0,ema=200",0.01,2.0,58.4,324.01,6,10058.4,0.16
bollinger,"period=20,mult=3.0",0.003,3.0,728.01,437.63,409,10728.01,1.93
ema,"fast=20,slow=200",0.003,3.0,1745.11,528.37,115,11745.11,4.48
ema,"fast=10,slow=200",0.003,3.0,2518.03,602.48,159,12518.03,6.32
ema,"fast=30,slow=200",0.003,3.0,2581.97,677.87,101,12581.97,6.46
ema,"fast=30,slow=200",0.003,2.5,3242.15,797.74,101,13242.15,7.96
ema,"fast=20,slow=200",0.005,2.5,4258.85,1083.77,115,14258.85,10.16
ema,"fast=10,slow=200",0.005,3.0,4381.43,1106.88,159,14381.43,10.42
ema,"fast=30,slow=200",0.005,3.0,4505.14,1244.46,101,14505.14,10.67
ema,"fast=30,slow=200",0.005,2.5,5727.8,1500.92,101,15727.8,13.14
ema,"fast=20,slow=200",0.01,3.0,6192.24,2108.65,115,16192.24,14.05
ema,"fast=20,slow=200",0.01,2.5,9297.29,2564.7,115,19297.29,19.63
ema,"fast=10,slow=200",0.01,3.0,9669.14,2761.02,159,19669.14,20.26
ema,"fast=30,slow=200",0.01,3.0,10011.92,3104.73,101,20011.92,20.83
ema,"fast=30,slow=200",0.01,2.5,13090.47,3952.36,101,23090.47,25.64
